============================================================
POST-AUTH DIVERSITY V2
============================================================
    0.00 ->  0.000 / 3
    1.00 ->  0.750 / 3
    2.00 ->  1.189 / 3
    3.00 ->  1.500 / 3
    5.00 ->  1.776 / 3
    8.00 ->  2.052 / 3
   10.00 ->  2.189 / 3
   12.00 ->  2.303 / 3
   14.00 ->  2.400 / 3
   15.00 ->  2.612 / 3
   16.00 ->  2.812 / 3
   17.00 ->  3.000 / 3
