IP,Count
159.65.82.169,2876
134.199.164.144,1980
134.199.151.172,1636
165.22.78.95,1500
46.101.166.142,935
103.25.139.186,870
8.219.218.85,864
2.57.122.96,827
195.178.110.218,623
115.191.66.84,516
