ip,total_old,total_new,mitigation_decision_old,mitigation_decision_new,persistence_backdoor_hits,dropper_execution_hits,temporal_level
34.150.142.107,7.3813,8.4731,ACL_BLOCK_CANDIDATE,BASE_SCORE_REVIEW,0,5,BURST
34.138.181.9,7.3813,8.4731,ACL_BLOCK_CANDIDATE,BASE_SCORE_REVIEW,0,5,BURST
