ip,total_old,total_new,mitigation_decision_old,mitigation_decision_new,persistence_backdoor_hits,dropper_execution_hits,temporal_level
112.151.178.49,6.8496,8.6358,MONITOR,ACL_BLOCK_CANDIDATE,21,0,BURST
219.92.11.46,6.8496,8.6358,MONITOR,ACL_BLOCK_CANDIDATE,21,0,BURST
188.166.216.131,6.4565,8.0421,MONITOR,ACL_BLOCK_CANDIDATE,9,0,BURST
103.42.74.124,5.7448,7.2005,MONITOR,ACL_BLOCK_CANDIDATE,5,0,BURST
85.87.1.47,5.5631,7.0188,MONITOR,ACL_BLOCK_CANDIDATE,5,0,BURST
