ip,commands,unique,severity_old,severity_new,intensity,diversity,total_old,total_new,risk_level_old,risk_level_new,persistence_backdoor_hits,dropper_execution_hits,successful_logins,commands_per_login,activity_span_minutes,max_commands_5s,max_commands_1min,burst_10plus_5s,temporal_level,mitigation_decision_old,mitigation_decision_new
101.36.122.139,36,1,0.0,1.9252,1.8318,0.0,1.8318,3.7569,LOW,LOW,37,0,37,0.972972972972973,116680.1878913482,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
222.108.100.117,36,1,0.0,1.9382,1.8318,0.0,1.8318,3.77,LOW,LOW,39,0,39,0.9230769230769231,109616.80466386875,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
103.143.11.150,36,1,0.0,1.9252,1.8318,0.0,1.8318,3.7569,LOW,LOW,37,0,37,0.972972972972973,14799.384365832806,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
59.12.160.91,36,1,0.0,1.9252,1.8318,0.0,1.8318,3.7569,LOW,LOW,37,0,40,0.9,58366.07589286566,2,4,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
203.145.34.165,36,1,0.0,1.9252,1.8318,0.0,1.8318,3.7569,LOW,LOW,37,0,37,0.972972972972973,10166.757088367145,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
192.169.197.250,27,1,0.3381,0.3381,1.4826,0.0,1.8208,1.8208,LOW,LOW,0,0,27,1.0,45720.295467352866,1,1,0,NORMAL,NO_ACTION,NO_ACTION
162.144.61.95,28,1,0.3199,0.3199,1.5,0.0,1.8199,1.8199,LOW,LOW,0,0,28,1.0,43779.90028095245,1,1,0,NORMAL,NO_ACTION,NO_ACTION
20.228.179.34,28,1,0.3199,0.3199,1.5,0.0,1.8199,1.8199,LOW,LOW,0,0,28,1.0,43708.738121585055,1,1,0,NORMAL,NO_ACTION,NO_ACTION
103.25.139.186,6,2,0.3381,0.3381,0.8782,0.585,1.8013,1.8013,LOW,LOW,0,0,4,1.5,0.01047998269399007,6,6,0,NORMAL,NO_ACTION,NO_ACTION
97.74.6.204,28,1,0.2941,0.2941,1.5,0.0,1.7941,1.7941,LOW,LOW,0,0,28,1.0,44274.1003824989,1,1,0,NORMAL,NO_ACTION,NO_ACTION
132.148.142.226,28,1,0.2941,0.2941,1.5,0.0,1.7941,1.7941,LOW,LOW,0,0,28,1.0,44290.07598960002,1,1,0,NORMAL,NO_ACTION,NO_ACTION
166.62.89.133,28,1,0.2941,0.2941,1.5,0.0,1.7941,1.7941,LOW,LOW,0,0,28,1.0,44354.36514759858,1,1,0,NORMAL,NO_ACTION,NO_ACTION
162.241.239.241,28,1,0.2941,0.2941,1.5,0.0,1.7941,1.7941,LOW,LOW,0,0,28,1.0,43754.197694301605,1,1,0,NORMAL,NO_ACTION,NO_ACTION
162.214.22.174,28,1,0.2941,0.2941,1.5,0.0,1.7941,1.7941,LOW,LOW,0,0,28,1.0,43707.83135843277,1,1,0,NORMAL,NO_ACTION,NO_ACTION
147.45.211.215,20,1,0.4436,0.4436,1.345,0.0,1.7886,1.7886,LOW,LOW,0,0,53,0.37735849056603776,3946.6291174689927,1,1,0,NORMAL,NO_ACTION,NO_ACTION
103.82.132.16,20,1,0.4436,0.4436,1.345,0.0,1.7886,1.7886,LOW,LOW,0,0,59,0.3389830508474576,1319.8047629197438,1,1,0,NORMAL,NO_ACTION,NO_ACTION
162.241.132.183,27,1,0.2941,0.2941,1.4826,0.0,1.7767,1.7767,LOW,LOW,0,0,27,1.0,43829.31703211864,1,1,0,NORMAL,NO_ACTION,NO_ACTION
162.241.239.202,27,1,0.2941,0.2941,1.4826,0.0,1.7767,1.7767,LOW,LOW,0,0,27,1.0,43715.09852840106,1,1,0,NORMAL,NO_ACTION,NO_ACTION
132.148.155.138,27,1,0.2941,0.2941,1.4826,0.0,1.7767,1.7767,LOW,LOW,0,0,27,1.0,43778.141028281054,1,1,0,NORMAL,NO_ACTION,NO_ACTION
192.169.180.166,25,1,0.3199,0.3199,1.4464,0.0,1.7662,1.7662,LOW,LOW,0,0,25,1.0,43819.215090433754,1,1,0,NORMAL,NO_ACTION,NO_ACTION
152.32.132.215,34,1,0.0,1.9114,1.7529,0.0,1.7529,3.6643,LOW,LOW,35,0,36,0.9444444444444444,71986.08417291641,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
49.247.36.49,34,1,0.0,1.9114,1.7529,0.0,1.7529,3.6643,LOW,LOW,35,0,35,0.9714285714285714,86523.91420470079,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
20.193.141.133,34,1,0.0,1.9114,1.7529,0.0,1.7529,3.6643,LOW,LOW,35,0,36,0.9444444444444444,52246.38124224742,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
187.107.88.97,34,1,0.0,1.9114,1.7529,0.0,1.7529,3.6643,LOW,LOW,35,0,39,0.8717948717948718,87092.6263477842,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
103.226.139.7,34,1,0.0,1.9114,1.7529,0.0,1.7529,3.6643,LOW,LOW,35,0,34,1.0,5025.329846318563,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
61.72.55.130,34,1,0.0,1.9114,1.7529,0.0,1.7529,3.6643,LOW,LOW,35,0,37,0.918918918918919,104806.52120624781,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
43.156.132.219,34,1,0.0,1.9114,1.7529,0.0,1.7529,3.6643,LOW,LOW,35,0,34,1.0,54.2838748494784,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
58.229.141.26,34,1,0.0,1.9114,1.7529,0.0,1.7529,3.6643,LOW,LOW,35,0,36,0.9444444444444444,71299.7799075524,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
87.106.69.120,34,1,0.0,1.9114,1.7529,0.0,1.7529,3.6643,LOW,LOW,35,0,34,1.0,13877.259569652875,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
110.93.219.131,34,1,0.0,1.9114,1.7529,0.0,1.7529,3.6643,LOW,LOW,35,0,35,0.9714285714285714,16828.431789731978,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
191.253.105.30,34,1,0.0,1.9114,1.7529,0.0,1.7529,3.6643,LOW,LOW,35,0,34,1.0,3019.8183126330377,2,4,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
116.193.190.100,34,1,0.0,1.9114,1.7529,0.0,1.7529,3.6643,LOW,LOW,35,0,34,1.0,5640.185091551145,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
190.181.27.27,34,1,0.0,1.9114,1.7529,0.0,1.7529,3.6643,LOW,LOW,35,0,38,0.8947368421052632,112679.06668201686,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
155.248.164.42,34,1,0.0,1.9114,1.7529,0.0,1.7529,3.6643,LOW,LOW,35,0,35,0.9714285714285714,10129.561151850223,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
43.164.195.69,34,1,0.0,1.9114,1.7529,0.0,1.7529,3.6643,LOW,LOW,35,0,35,0.9714285714285714,83587.38336108129,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
5.195.226.17,34,1,0.0,1.9114,1.7529,0.0,1.7529,3.6643,LOW,LOW,35,0,37,0.918918918918919,62483.09203651746,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
152.32.239.90,34,1,0.0,1.9382,1.7529,0.0,1.7529,3.6911,LOW,LOW,39,0,37,0.918918918918919,108247.97286636829,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
207.46.224.85,18,1,0.4372,0.4372,1.2994,0.0,1.7366,1.7366,LOW,LOW,0,0,18,1.0,242.2493001659711,1,1,0,NORMAL,NO_ACTION,NO_ACTION
162.214.5.224,23,1,0.3199,0.3199,1.4078,0.0,1.7277,1.7277,LOW,LOW,0,0,23,1.0,43815.86598834991,1,1,0,NORMAL,NO_ACTION,NO_ACTION
162.241.33.238,20,1,0.3381,0.3381,1.345,0.0,1.6832,1.6832,LOW,LOW,0,0,20,1.0,3759.4248873154324,1,1,0,NORMAL,NO_ACTION,NO_ACTION
142.93.241.57,16,1,0.4301,0.4301,1.25,0.0,1.6801,1.6801,LOW,LOW,0,0,16,1.0,8.647766383488973,1,4,0,NORMAL,NO_ACTION,NO_ACTION
165.101.251.150,2,2,0.5881,0.5881,0.5,0.585,1.6731,1.6731,LOW,LOW,0,0,9,0.2222222222222222,10937.31833088398,1,1,0,NORMAL,NO_ACTION,NO_ACTION
20.192.21.48,2,2,0.5881,0.5881,0.5,0.585,1.6731,1.6731,LOW,LOW,0,0,1,2.0,0.006319733460744222,2,2,0,NORMAL,NO_ACTION,NO_ACTION
165.154.23.29,32,1,0.0,1.8969,1.6714,0.0,1.6714,3.5683,LOW,LOW,33,0,32,1.0,13569.655696682135,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
103.139.193.223,32,1,0.0,1.8969,1.6714,0.0,1.6714,3.5683,LOW,LOW,33,0,32,1.0,20649.964781165123,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
156.253.5.146,32,1,0.0,1.8969,1.6714,0.0,1.6714,3.5683,LOW,LOW,33,0,34,0.9411764705882353,26228.41996004979,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
152.32.210.228,32,1,0.0,1.8969,1.6714,0.0,1.6714,3.5683,LOW,LOW,33,0,32,1.0,17294.858642331757,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
209.38.69.153,32,1,0.0,1.8969,1.6714,0.0,1.6714,3.5683,LOW,LOW,33,0,32,1.0,7860.005637149016,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
161.132.180.118,32,1,0.0,1.8969,1.6714,0.0,1.6714,3.5683,LOW,LOW,33,0,32,1.0,15506.466888014476,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
50.84.211.204,32,1,0.0,1.9252,1.6714,0.0,1.6714,3.5966,LOW,LOW,37,0,32,1.0,18928.74830056429,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
89.134.210.182,32,1,0.0,1.8969,1.6714,0.0,1.6714,3.5683,LOW,LOW,33,0,34,0.9411764705882353,100695.55272566478,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
188.226.168.173,32,1,0.0,1.8969,1.6714,0.0,1.6714,3.5683,LOW,LOW,33,0,32,1.0,50.58505588372548,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
150.5.169.138,32,1,0.0,1.9114,1.6714,0.0,1.6714,3.5828,LOW,LOW,35,0,34,0.9411764705882353,92192.26382368406,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
62.61.136.107,32,1,0.0,1.8969,1.6714,0.0,1.6714,3.5683,LOW,LOW,33,0,32,1.0,44.872211782137555,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
42.112.71.197,32,1,0.0,1.8969,1.6714,0.0,1.6714,3.5683,LOW,LOW,33,0,32,1.0,60.66059013207754,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
186.251.71.202,32,1,0.0,1.9114,1.6714,0.0,1.6714,3.5828,LOW,LOW,35,0,33,0.9696969696969697,56555.023214848836,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
101.47.158.54,32,1,0.0,1.8969,1.6714,0.0,1.6714,3.5683,LOW,LOW,33,0,32,1.0,58.35648346741994,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
89.39.121.13,32,1,0.0,1.8969,1.6714,0.0,1.6714,3.5683,LOW,LOW,33,0,32,1.0,41.285225101312,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
14.34.157.138,32,1,0.0,1.8969,1.6714,0.0,1.6714,3.5683,LOW,LOW,33,0,34,0.9411764705882353,76626.88978465,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
116.193.190.62,32,1,0.0,1.8969,1.6714,0.0,1.6714,3.5683,LOW,LOW,33,0,32,1.0,51.21227989991506,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
172.191.157.64,32,1,0.0,1.8969,1.6714,0.0,1.6714,3.5683,LOW,LOW,33,0,34,0.9411764705882353,68518.49442874988,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
92.205.57.72,32,1,0.0,1.9114,1.6714,0.0,1.6714,3.5828,LOW,LOW,35,0,33,0.9696969696969697,95326.84527601798,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
89.190.156.112,32,1,0.0,1.8969,1.6714,0.0,1.6714,3.5683,LOW,LOW,33,0,32,1.0,33.77799516916275,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
217.154.192.185,32,1,0.0,1.8969,1.6714,0.0,1.6714,3.5683,LOW,LOW,33,0,35,0.9142857142857143,67278.6764713645,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
161.132.39.242,32,1,0.0,1.8969,1.6714,0.0,1.6714,3.5683,LOW,LOW,33,0,32,1.0,39.89194391965866,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
103.193.176.131,32,1,0.0,1.8969,1.6714,0.0,1.6714,3.5683,LOW,LOW,33,0,32,1.0,38.927633213996884,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
103.200.25.198,32,1,0.0,1.9114,1.6714,0.0,1.6714,3.5828,LOW,LOW,35,0,33,0.9696969696969697,101251.8031978488,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
161.35.17.41,32,1,0.0,1.8969,1.6714,0.0,1.6714,3.5683,LOW,LOW,33,0,32,1.0,33.06949823300044,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
118.26.36.195,32,1,0.0,1.9114,1.6714,0.0,1.6714,3.5828,LOW,LOW,35,0,33,0.9696969696969697,86282.79891048273,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
156.38.146.235,32,1,0.0,1.8969,1.6714,0.0,1.6714,3.5683,LOW,LOW,33,0,32,1.0,18.246124732494355,2,4,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
136.248.247.188,32,1,0.0,1.8969,1.6714,0.0,1.6714,3.5683,LOW,LOW,33,0,33,0.9696969696969697,12255.106402015686,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
130.51.21.20,32,1,0.0,1.8969,1.6714,0.0,1.6714,3.5683,LOW,LOW,33,0,32,1.0,34.76406461397807,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
144.79.187.31,32,1,0.0,1.8969,1.6714,0.0,1.6714,3.5683,LOW,LOW,33,0,33,0.9696969696969697,36573.446933468185,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
103.171.85.124,32,1,0.0,1.8969,1.6714,0.0,1.6714,3.5683,LOW,LOW,33,0,32,1.0,56.76343898375829,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
196.196.253.20,32,1,0.0,1.8969,1.6714,0.0,1.6714,3.5683,LOW,LOW,33,0,36,0.8888888888888888,67389.58923374812,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
201.217.67.183,32,1,0.0,1.8969,1.6714,0.0,1.6714,3.5683,LOW,LOW,33,0,32,1.0,37.812419565518695,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
116.255.159.152,32,1,0.0,1.9114,1.6714,0.0,1.6714,3.5828,LOW,LOW,35,0,47,0.6808510638297872,4.285398848851522,2,10,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
192.163.244.125,21,1,0.2941,0.2941,1.3667,0.0,1.6608,1.6608,LOW,LOW,0,0,21,1.0,3876.9849266171454,1,1,0,NORMAL,NO_ACTION,NO_ACTION
162.214.159.200,21,1,0.2941,0.2941,1.3667,0.0,1.6608,1.6608,LOW,LOW,0,0,21,1.0,3824.863824681441,1,1,0,NORMAL,NO_ACTION,NO_ACTION
192.169.249.148,21,1,0.2941,0.2941,1.3667,0.0,1.6608,1.6608,LOW,LOW,0,0,21,1.0,3923.474680817127,1,1,0,NORMAL,NO_ACTION,NO_ACTION
198.1.75.59,21,1,0.2941,0.2941,1.3667,0.0,1.6608,1.6608,LOW,LOW,0,0,21,1.0,3849.7408231337863,1,1,0,NORMAL,NO_ACTION,NO_ACTION
198.57.219.18,21,1,0.2941,0.2941,1.3667,0.0,1.6608,1.6608,LOW,LOW,0,0,21,1.0,3920.92997178634,1,1,0,NORMAL,NO_ACTION,NO_ACTION
176.32.39.21,15,1,0.4263,0.4263,1.2238,0.0,1.6501,1.6501,LOW,LOW,0,0,46,0.32608695652173914,3997.606386001905,1,1,0,NORMAL,NO_ACTION,NO_ACTION
176.65.139.66,15,1,0.4263,0.4263,1.2238,0.0,1.6501,1.6501,LOW,LOW,0,0,15,1.0,0.5218912680943807,3,15,0,NORMAL,NO_ACTION,NO_ACTION
35.187.222.91,15,1,0.4263,0.4263,1.2238,0.0,1.6501,1.6501,LOW,LOW,0,0,15,1.0,6803.487881533305,3,6,0,NORMAL,NO_ACTION,NO_ACTION
192.169.202.129,19,1,0.3199,0.3199,1.3226,0.0,1.6425,1.6425,LOW,LOW,0,0,19,1.0,3817.522525684039,1,1,0,NORMAL,NO_ACTION,NO_ACTION
36.110.172.218,9,2,0.0,1.5856,1.0374,0.585,1.6223,3.208,LOW,LOW,9,0,7,1.2857142857142858,76614.36123906374,2,3,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
108.179.225.94,9,2,0.0,1.3526,1.0374,0.585,1.6223,2.9749,LOW,LOW,3,0,10,0.9,20711.374994870028,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
162.144.195.114,17,1,0.3381,0.3381,1.2752,0.0,1.6133,1.6133,LOW,LOW,0,0,17,1.0,1814.2293514808018,1,1,0,NORMAL,NO_ACTION,NO_ACTION
162.223.91.130,30,1,0.0,1.8815,1.5872,0.0,1.5872,3.4686,LOW,LOW,31,0,33,0.9090909090909091,59678.629794148605,2,4,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
152.32.252.65,30,1,0.0,1.8969,1.5872,0.0,1.5872,3.4841,LOW,LOW,33,0,30,1.0,20382.711824051537,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
103.189.235.30,30,1,0.0,1.8815,1.5872,0.0,1.5872,3.4686,LOW,LOW,31,0,30,1.0,20140.573479700088,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
119.203.251.187,30,1,0.0,1.8815,1.5872,0.0,1.5872,3.4686,LOW,LOW,31,0,35,0.8571428571428571,123906.5368936499,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
209.97.168.111,30,1,0.0,1.8815,1.5872,0.0,1.5872,3.4686,LOW,LOW,31,0,31,0.967741935483871,21749.271230749287,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
95.231.249.182,30,1,0.0,1.8815,1.5872,0.0,1.5872,3.4686,LOW,LOW,31,0,30,1.0,2852.4069681803385,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
34.131.211.42,30,1,0.0,1.8815,1.5872,0.0,1.5872,3.4686,LOW,LOW,31,0,30,1.0,8679.217467685541,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
103.226.139.207,30,1,0.0,1.8815,1.5872,0.0,1.5872,3.4686,LOW,LOW,31,0,31,0.967741935483871,24510.36347711881,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
139.99.133.77,30,1,0.0,1.8815,1.5872,0.0,1.5872,3.4686,LOW,LOW,31,0,31,0.967741935483871,21718.067075133324,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
101.36.106.145,30,1,0.0,1.8815,1.5872,0.0,1.5872,3.4686,LOW,LOW,31,0,30,1.0,9337.150928266843,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
202.165.15.132,30,1,0.0,1.8815,1.5872,0.0,1.5872,3.4686,LOW,LOW,31,0,32,0.9375,124168.82836005291,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
103.189.234.57,30,1,0.0,1.8815,1.5872,0.0,1.5872,3.4686,LOW,LOW,31,0,30,1.0,13606.355251169205,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
103.117.56.152,30,1,0.0,1.8815,1.5872,0.0,1.5872,3.4686,LOW,LOW,31,0,31,0.967741935483871,19437.936284430823,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
62.60.253.166,30,1,0.0,1.8815,1.5872,0.0,1.5872,3.4686,LOW,LOW,31,0,30,1.0,57.96871338287989,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
163.227.230.54,30,1,0.0,1.8815,1.5872,0.0,1.5872,3.4686,LOW,LOW,31,0,31,0.967741935483871,15296.658556016286,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
194.164.195.247,30,1,0.0,1.8815,1.5872,0.0,1.5872,3.4686,LOW,LOW,31,0,30,1.0,8151.765216267109,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
45.120.216.232,30,1,0.0,1.8969,1.5872,0.0,1.5872,3.4841,LOW,LOW,33,0,32,0.9375,24230.432286798954,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
89.190.156.124,30,1,0.0,1.8815,1.5872,0.0,1.5872,3.4686,LOW,LOW,31,0,30,1.0,29.999241733551024,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
5.129.201.184,30,1,0.0,1.8815,1.5872,0.0,1.5872,3.4686,LOW,LOW,31,0,30,1.0,27.12257133324941,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
85.234.140.125,30,1,0.0,1.8815,1.5872,0.0,1.5872,3.4686,LOW,LOW,31,0,30,1.0,34.92784963051478,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
185.92.182.129,30,1,0.0,1.8815,1.5872,0.0,1.5872,3.4686,LOW,LOW,31,0,30,1.0,39.76090903282166,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
123.58.219.234,30,1,0.0,1.8815,1.5872,0.0,1.5872,3.4686,LOW,LOW,31,0,30,1.0,34.49374601840973,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
43.161.249.201,30,1,0.0,1.8815,1.5872,0.0,1.5872,3.4686,LOW,LOW,31,0,30,1.0,35.68748961687088,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
43.242.203.160,30,1,0.0,1.8969,1.5872,0.0,1.5872,3.4841,LOW,LOW,33,0,30,1.0,34.849237183729805,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
128.14.225.164,30,1,0.0,1.9114,1.5872,0.0,1.5872,3.4986,LOW,LOW,35,0,35,0.8571428571428571,91512.96086920102,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
34.58.124.191,30,1,0.0,1.8815,1.5872,0.0,1.5872,3.4686,LOW,LOW,31,0,31,0.967741935483871,70748.0351222674,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
191.101.59.254,30,1,0.0,1.8815,1.5872,0.0,1.5872,3.4686,LOW,LOW,31,0,30,1.0,1448.927607548237,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
172.173.200.62,30,1,0.0,1.8969,1.5872,0.0,1.5872,3.4841,LOW,LOW,33,0,31,0.967741935483871,113571.48855278493,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
179.57.170.71,30,1,0.0,1.8815,1.5872,0.0,1.5872,3.4686,LOW,LOW,31,0,31,0.967741935483871,99384.68391155005,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
190.221.50.123,30,1,0.0,1.8815,1.5872,0.0,1.5872,3.4686,LOW,LOW,31,0,31,0.967741935483871,90377.43086314996,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
173.10.13.18,30,1,0.0,1.8815,1.5872,0.0,1.5872,3.4686,LOW,LOW,31,0,32,0.9375,12701.337500933807,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
162.241.235.142,17,1,0.2941,0.2941,1.2752,0.0,1.5692,1.5692,LOW,LOW,0,0,17,1.0,1851.2042437632879,1,1,0,NORMAL,NO_ACTION,NO_ACTION
91.196.35.118,12,1,0.4131,0.4131,1.1376,0.0,1.5507,1.5507,LOW,LOW,0,0,30,0.4,6921.063473598162,1,1,0,NORMAL,NO_ACTION,NO_ACTION
51.158.234.191,12,1,0.4131,0.4131,1.1376,0.0,1.5507,1.5507,LOW,LOW,0,0,12,1.0,1.5771773338317872,3,7,0,NORMAL,NO_ACTION,NO_ACTION
188.166.210.196,12,1,0.4131,0.4131,1.1376,0.0,1.5507,1.5507,LOW,LOW,0,0,12,1.0,97.7184612194697,4,4,0,NORMAL,NO_ACTION,NO_ACTION
162.241.177.22,29,1,0.0,0.0,1.544,0.0,1.544,1.544,LOW,LOW,0,0,29,1.0,45801.747390067576,1,1,0,NORMAL,NO_ACTION,NO_ACTION
191.101.33.225,15,1,0.3199,0.3199,1.2238,0.0,1.5436,1.5436,LOW,LOW,0,0,15,1.0,42656.819351049264,1,1,0,NORMAL,NO_ACTION,NO_ACTION
161.132.4.167,3,2,0.3199,0.3199,0.6218,0.585,1.5266,1.5266,LOW,LOW,0,0,1,3.0,4.971424738566081e-05,3,3,0,NORMAL,NO_ACTION,NO_ACTION
161.97.75.11,15,1,0.2941,0.2941,1.2238,0.0,1.5178,1.5178,LOW,LOW,0,0,15,1.0,3682.8440692822137,1,1,0,NORMAL,NO_ACTION,NO_ACTION
139.84.242.153,11,1,0.408,0.408,1.106,0.0,1.514,1.514,LOW,LOW,0,0,11,1.0,1324.9630684336028,1,1,0,NORMAL,NO_ACTION,NO_ACTION
162.120.6.20,11,1,0.408,0.408,1.106,0.0,1.514,1.514,LOW,LOW,0,0,11,1.0,4127.0361495018005,1,1,0,NORMAL,NO_ACTION,NO_ACTION
38.175.194.192,11,1,0.408,0.408,1.106,0.0,1.514,1.514,LOW,LOW,0,0,19,0.5789473684210527,94.37441747983297,1,1,0,NORMAL,NO_ACTION,NO_ACTION
85.112.201.196,11,1,0.408,0.408,1.106,0.0,1.514,1.514,LOW,LOW,0,0,11,1.0,2955.4138605157536,1,1,0,NORMAL,NO_ACTION,NO_ACTION
158.174.211.17,28,1,0.0,1.865,1.5,0.0,1.5,3.365,LOW,LOW,29,0,28,1.0,8244.315107349556,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
103.30.41.231,28,1,0.0,1.865,1.5,0.0,1.5,3.365,LOW,LOW,29,0,31,0.9032258064516129,47669.62417793274,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
103.143.238.207,28,1,0.0,1.865,1.5,0.0,1.5,3.365,LOW,LOW,29,0,28,1.0,10629.356288464864,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
164.90.138.136,28,1,0.0,1.865,1.5,0.0,1.5,3.365,LOW,LOW,29,0,29,0.9655172413793104,26030.920099469025,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
160.191.244.236,28,1,0.0,1.865,1.5,0.0,1.5,3.365,LOW,LOW,29,0,28,1.0,3068.2093662977218,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
